==76782== NVPROF is profiling process 76782, command: ./nvlink_re 0 1 740
==76782== Profiling application: ./nvlink_re 0 1 740
==76782== Profiling result:
==76782== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_total_data_transmitted (6 instances)","NVLink Total Data Transmitted",,,"256,256,1269,1312,256,1406"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_total_data_received (6 instances)","NVLink Total Data Received",,,"192,192,1464,1561,192,1559"
