==75345== NVPROF is profiling process 75345, command: ./nvlink_re 0 1 727
==75345== Profiling application: ./nvlink_re 0 1 727
==75345== Profiling result:
==75345== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_total_data_transmitted (6 instances)","NVLink Total Data Transmitted",,,"256,256,1167,1344,256,1311"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_total_data_received (6 instances)","NVLink Total Data Received",,,"192,192,1364,1564,192,1578"
