==287810== NVPROF is profiling process 287810, command: ./CUPTI_sender 0 1 102400000 10
Current TSC: 581317798038136
2.280008,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",258
2.285675,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",260
2.291502,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",264
2.297472,5.630026,,,,,,,,,,390.625000,67.756299,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",270
2.303132,5.630154,,,,,,,,,,390.625000,67.754759,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",272
2.308869,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",275
2.314990,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",283
2.320649,5.630154,,,,,,,,,,390.625000,67.754759,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",285
2.326386,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",288
2.332123,5.630122,,,,,,,,,,390.625000,67.755144,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",291
2.337862,5.630026,,,,,,,,,,390.625000,67.756299,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",294
