==155939== NVPROF is profiling process 155939, command: ./nvlink_re 0 1 425
==155939== Profiling application: ./nvlink_re 0 1 425
==155939== Profiling result:
==155939== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"113.764379MB/s,113.764379MB/s,367.309766MB/s,474.427340MB/s,113.764379MB/s,348.168695MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.323238MB/s,85.323238MB/s,377.437142MB/s,497.855537MB/s,85.323238MB/s,393.119491MB/s"
