==197014== NVPROF is profiling process 197014, command: ./nvlink_re 0 1 905
==197014== Profiling application: ./nvlink_re 0 1 905
==197014== Profiling result:
==197014== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"110.694293MB/s,110.694293MB/s,569.854258MB/s,744.434291MB/s,110.694293MB/s,672.769362MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"83.020675MB/s,83.020675MB/s,669.731440MB/s,862.595010MB/s,83.020675MB/s,807.597696MB/s"
