==144635== NVPROF is profiling process 144635, command: ./nvlink_re 0 1 293
==144635== Profiling application: ./nvlink_re 0 1 293
==144635== Profiling result:
==144635== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"114.270492MB/s,114.270492MB/s,342.725868MB/s,371.379500MB/s,114.270492MB/s,242.824998MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.702824MB/s,85.702824MB/s,342.718984MB/s,379.374171MB/s,85.702824MB/s,238.519900MB/s"
