==180001== NVPROF is profiling process 180001, command: ./nvlink_re 0 1 704
==180001== Profiling application: ./nvlink_re 0 1 704
==180001== Profiling result:
==180001== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"111.788378MB/s,111.788378MB/s,487.962703MB/s,586.889797MB/s,111.788378MB/s,567.270356MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"83.841240MB/s,83.841240MB/s,523.038398MB/s,671.186585MB/s,83.841240MB/s,658.752785MB/s"
