==121705== NVPROF is profiling process 121705, command: ./nvlink_re 0 1 28
==121705== Profiling application: ./nvlink_re 0 1 28
==121705== Profiling result:
==121705== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"110.478389MB/s,110.478389MB/s,110.478389MB/s,172.622585MB/s,110.478389MB/s,110.478389MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"82.858747MB/s,82.858747MB/s,82.858747MB/s,158.812763MB/s,82.858747MB/s,82.858747MB/s"
