==144242== NVPROF is profiling process 144242, command: ./nvlink_re 0 1 288
==144242== Profiling application: ./nvlink_re 0 1 288
==144242== Profiling result:
==144242== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"115.188528MB/s,115.188528MB/s,309.569474MB/s,374.363117MB/s,115.188528MB/s,244.775823MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"86.391351MB/s,86.391351MB/s,311.831429MB/s,399.810307MB/s,86.391351MB/s,243.430101MB/s"
