==159609== NVPROF is profiling process 159609, command: ./nvlink_re 0 1 471
==159609== Profiling application: ./nvlink_re 0 1 471
==159609== Profiling result:
==159609== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"115.233325MB/s,115.233325MB/s,368.854097MB/s,492.951413MB/s,115.233325MB/s,414.569180MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"86.424949MB/s,86.424949MB/s,394.139122MB/s,546.068501MB/s,86.424949MB/s,459.386346MB/s"
