==201023== NVPROF is profiling process 201023, command: ./nvlink_re 0 1 955
==201023== Profiling application: ./nvlink_re 0 1 955
==201023== Profiling result:
==201023== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"112.124759MB/s,112.124759MB/s,594.170136MB/s,823.306915MB/s,112.124759MB/s,679.649509MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"84.093524MB/s,84.093524MB/s,673.405233MB/s,969.854112MB/s,84.093524MB/s,824.980761MB/s"
