==163199== NVPROF is profiling process 163199, command: ./nvlink_re 0 1 510
==163199== Profiling application: ./nvlink_re 0 1 510
==163199== Profiling result:
==163199== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"112.593587MB/s,112.593587MB/s,360.290854MB/s,489.265584MB/s,112.593587MB/s,475.726513MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"84.445146MB/s,84.445146MB/s,389.205243MB/s,536.899127MB/s,84.445146MB/s,528.007957MB/s"
