==133727== NVPROF is profiling process 133727, command: ./nvlink_re 0 1 166
==133727== Profiling application: ./nvlink_re 0 1 166
==133727== Profiling result:
==133727== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"115.911574MB/s,115.911574MB/s,115.911574MB/s,347.735084MB/s,115.911574MB/s,246.312300MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"86.933638MB/s,86.933638MB/s,86.933638MB/s,340.807343MB/s,86.933638MB/s,246.312300MB/s"
