==151852== NVPROF is profiling process 151852, command: ./nvlink_re 0 1 379
==151852== Profiling application: ./nvlink_re 0 1 379
==151852== Profiling result:
==151852== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"114.188148MB/s,114.188148MB/s,365.098726MB/s,371.111884MB/s,114.188148MB/s,358.527754MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.641066MB/s,85.641066MB/s,396.652386MB/s,382.486499MB/s,85.641066MB/s,396.509217MB/s"
