==204071== NVPROF is profiling process 204071, command: ./nvlink_re 0 1 988
==204071== Profiling application: ./nvlink_re 0 1 988
==204071== Profiling result:
==204071== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"109.006373MB/s,109.006373MB/s,621.578512MB/s,784.538487MB/s,109.006373MB/s,662.484310MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"81.754735MB/s,81.754735MB/s,732.540491MB/s,948.286426MB/s,81.754735MB/s,807.352255MB/s"
