==152579== NVPROF is profiling process 152579, command: ./nvlink_re 0 1 388
==152579== Profiling application: ./nvlink_re 0 1 388
==152579== Profiling result:
==152579== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"113.806692MB/s,113.806692MB/s,367.811625MB/s,404.234824MB/s,113.806692MB/s,347.144114MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.354975MB/s,85.354975MB/s,389.707219MB/s,422.410023MB/s,85.354975MB/s,396.063016MB/s"
