==134854== NVPROF is profiling process 134854, command: ./nvlink_re 0 1 180
==134854== Profiling application: ./nvlink_re 0 1 180
==134854== Profiling result:
==134854== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"111.433323MB/s,111.433323MB/s,111.433323MB/s,355.194109MB/s,111.433323MB/s,236.796014MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"83.574947MB/s,83.574947MB/s,83.574947MB/s,355.623741MB/s,83.574947MB/s,236.796014MB/s"
