==171540== NVPROF is profiling process 171540, command: ./nvlink_re 0 1 608
==171540== Profiling application: ./nvlink_re 0 1 608
==171540== Profiling result:
==171540== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"112.627219MB/s,112.627219MB/s,421.985206MB/s,580.012883MB/s,112.627219MB/s,475.868619MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"84.470369MB/s,84.470369MB/s,458.232309MB/s,679.356516MB/s,84.470369MB/s,535.407265MB/s"
