==197973== NVPROF is profiling process 197973, command: ./nvlink_re 0 1 917
==197973== Profiling application: ./nvlink_re 0 1 917
==197973== Profiling result:
==197973== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"107.680928MB/s,107.680928MB/s,555.096924MB/s,730.430781MB/s,107.680928MB/s,652.791371MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"80.760652MB/s,80.760652MB/s,645.948141MB/s,847.595592MB/s,80.760652MB/s,801.160954MB/s"
