==190471== NVPROF is profiling process 190471, command: ./nvlink_re 0 1 827
==190471== Profiling application: ./nvlink_re 0 1 827
==190471== Profiling result:
==190471== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"110.305840MB/s,110.305840MB/s,577.432619MB/s,699.314799MB/s,110.305840MB/s,576.269446MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"82.729336MB/s,82.729336MB/s,643.990267MB/s,806.101915MB/s,82.729336MB/s,651.083504MB/s"
