==124060== NVPROF is profiling process 124060, command: ./nvlink_re 0 1 57
==124060== Profiling application: ./nvlink_re 0 1 57
==124060== Profiling result:
==124060== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"115.226225MB/s,115.226225MB/s,115.226225MB/s,244.855933MB/s,115.226225MB/s,115.226225MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"86.419625MB/s,86.419625MB/s,86.419625MB/s,243.300164MB/s,86.419625MB/s,86.419625MB/s"
