==188118== NVPROF is profiling process 188118, command: ./nvlink_re 0 1 802
==188118== Profiling application: ./nvlink_re 0 1 802
==188118== Profiling result:
==188118== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"114.466668MB/s,114.466668MB/s,601.799289MB/s,697.911489MB/s,114.466668MB/s,594.475406MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.849958MB/s,85.849958MB/s,671.362854MB/s,794.794054MB/s,85.849958MB/s,685.218665MB/s"
