==128036== NVPROF is profiling process 128036, command: ./nvlink_re 0 1 101
==128036== Profiling application: ./nvlink_re 0 1 101
==128036== Profiling result:
==128036== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"114.321410MB/s,114.321410MB/s,114.321410MB/s,242.933208MB/s,114.321410MB/s,214.352804MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.741013MB/s,85.741013MB/s,85.741013MB/s,241.429634MB/s,85.741013MB/s,198.616838MB/s"
