==169038== NVPROF is profiling process 169038, command: ./nvlink_re 0 1 577
==169038== Profiling application: ./nvlink_re 0 1 577
==169038== Profiling result:
==169038== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"113.870425MB/s,113.870425MB/s,398.489029MB/s,586.545775MB/s,113.870425MB/s,480.990776MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"85.402776MB/s,85.402776MB/s,420.552518MB/s,687.151547MB/s,85.402776MB/s,541.426148MB/s"
