==148222== NVPROF is profiling process 148222, command: ./nvlink_re 0 1 338
==148222== Profiling application: ./nvlink_re 0 1 338
==148222== Profiling result:
==148222== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"111.164019MB/s,111.164019MB/s,355.779121MB/s,361.283466MB/s,111.164019MB/s,291.777220MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"83.372970MB/s,83.372970MB/s,377.529807MB/s,369.941343MB/s,83.372970MB/s,292.092571MB/s"
