==166188== NVPROF is profiling process 166188, command: ./nvlink_re 0 1 547
==166188== Profiling application: ./nvlink_re 0 1 547
==166188== Profiling result:
==166188== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"112.766565MB/s,112.766565MB/s,360.689794MB/s,564.818135MB/s,112.766565MB/s,476.425225MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"84.574879MB/s,84.574879MB/s,373.943249MB/s,628.749168MB/s,84.574879MB/s,536.751043MB/s"
