==139323== NVPROF is profiling process 139323, command: ./nvlink_re 0 1 231
==139323== Profiling application: ./nvlink_re 0 1 231
==139323== Profiling result:
==139323== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"115.174350MB/s,115.174350MB/s,215.952062MB/s,374.317039MB/s,115.174350MB/s,244.745694MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"86.380717MB/s,86.380717MB/s,200.004726MB/s,386.798706MB/s,86.380717MB/s,242.936756MB/s"
