==196701== NVPROF is profiling process 196701, command: ./nvlink_re 0 1 901
==196701== Profiling application: ./nvlink_re 0 1 901
==196701== Profiling result:
==196701== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"112.835455MB/s,112.835455MB/s,580.891879MB/s,728.196540MB/s,112.835455MB/s,685.299621MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"84.626547MB/s,84.626547MB/s,682.603837MB/s,869.183105MB/s,84.626547MB/s,818.709618MB/s"
