==125853== NVPROF is profiling process 125853, command: ./nvlink_re 0 1 79
==125853== Profiling application: ./nvlink_re 0 1 79
==125853== Profiling result:
==125853== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_transmit_throughput (6 instances)","NVLink Transmit Throughput",,,"116.090107MB/s,116.090107MB/s,116.090107MB/s,246.691683MB/s,116.090107MB/s,166.879606MB/s"
"Tesla V100-SXM2-16GB (0)","test_nvlink(int*, int*, int)",100,"nvlink_receive_throughput (6 instances)","NVLink Receive Throughput",,,"87.067534MB/s,87.067534MB/s,87.067534MB/s,245.476144MB/s,87.067534MB/s,137.857035MB/s"
